College,Major,code,rest
간호대학,간호학과,NRSG234,간호연구방법론 추진아 2( 2) 목(1-2) 우정간호학관 101호 ● ● 신청현황
간호대학,간호학과,NRSG236,간호진단 전진영 1( 1) 월(4) 우정간호학관 101호 ● ● ● 신청현황
간호대학,간호학과,NRSG240,기초간호과학I 설근희 2( 2) 화(1-2) 우정간호학관 101호 ● ● ● 신청현황
간호대학,간호학과,NRSG244,기초간호과학IV 설근희 2( 2) 수(1-2) 우정간호학관 101호 ● ● ● 신청현황
간호대학,간호학과,NRSG250,기초간호과학실습I 설근희 1( 2) 화(3-4) 우정간호학관 307호 ● ● 신청현황
간호대학,간호학과,NRSG250,기초간호과학실습I 설근희 1( 2) 수(4-5) 우정간호학관 307호 ● ● 신청현황
간호대학,간호학과,NRSG250,기초간호과학실습I 설근희 1( 2) 수(6-7) 우정간호학관 307호 ● ● 신청현황
간호대학,간호학과,NRSG254,생명윤리  수업시간 : 14:00-14:50 전진영 1( 1) 월(5) 우정간호학관 101호 ● ● 신청현황
간호대학,간호학과,NRSG262,기본간호학II 장성옥 1( 1) 화(4) 우정간호학관 101호 ● ● ● 신청현황
간호대학,간호학과,NRSG266,기본간호학실습II 장성옥 2( 4) 화(5-7) 우정간호학관 101호 ● ● 신청현황
간호대학,간호학과,NRSG266,기본간호학실습II 박원희 2( 4) 금(5-7) 우정간호학관 101호 ● ● 신청현황
간호대학,간호학과,NRSG266,기본간호학실습II 박원희 2( 4) 목(4-6) 우정간호학관 101호 ● ● 신청현황
간호대학,간호학과,NRSG271,건강사정(영강)  수업시간 : 9:00-9:50 박수경 1( 1) 금(1) 우정간호학관 101호 ● ● 신청현황
간호대학,간호학과,NRSG273,건강사정실습  수업시간 : 10:00-11:40 박수경 1( 2) 금(2) 우정간호학관 건강사정실습실(418호) ● ● 신청현황
간호대학,간호학과,NRSG273,건강사정실습 정선영 1( 2) 금(3-4) 우정간호학관 건강사정실습실(418호) ● ● 신청현황
간호대학,간호학과,NRSG273,건강사정실습  수업시간 : 10:00-11:40 전진영 1( 2) 월(2) 우정간호학관 건강사정실습실(418호) ● ● 신청현황
간호대학,간호학과,NRSG277,"성인간호학IV  수업시간 : 수 10:45-12:25 / 13:35-15:15 목 13:00-13:40 박수경,김성렬 3( 3) 수(2-3) 우정간호학관 201호 수(4-5) 우정간호학관 201호 ● ● ● 신청현황"
간호대학,간호학과,NRSG279,성인간호학V  수업시간 : 목 14:00-15:20 홍세진 1( 1) 목(5) 우정간호학관 201호 ● ● ● 신청현황
